1,25,32,37,40,"2015-02-07 19:21:55",0
2,29,32,37,39,"2015-02-07 19:24:46",0
3,18,32,37,40,"2015-02-07 19:27:01",0
4,28,36,37,39,"2015-02-07 19:30:59",0
5,18,32,37,40,"2015-02-07 19:31:11",0
6,24,32,38,39,"2015-02-07 19:31:22",0
7,18,32,38,39,"2015-02-07 19:35:03",0
8,19,32,37,40,"2015-02-07 19:39:09",0
9,22,32,38,39,"2015-02-07 19:39:27",0
10,28,32,37,39,"2015-02-07 19:40:50",0
11,28,32,38,39,"2015-02-07 19:41:07",0
12,23,32,37,39,"2015-02-07 19:41:12",0
13,28,32,37,39,"2015-02-07 19:44:08",1
14,21,32,38,39,"2015-02-07 19:46:30",1
15,18,32,38,39,"2015-02-07 19:47:12",0
16,30,32,37,40,"2015-02-07 19:49:47",0
17,20,32,37,40,"2015-02-07 19:51:56",0
18,25,33,37,40,"2015-02-07 19:52:22",0
19,20,32,37,40,"2015-02-07 19:52:58",0
20,22,32,38,39,"2015-02-07 19:54:02",0
21,24,32,38,39,"2015-02-07 19:58:19",0
22,22,33,38,39,"2015-02-07 19:59:33",0
23,30,32,38,39,"2015-02-07 20:04:50",0
24,25,32,37,40,"2015-02-07 20:05:08",0
25,22,33,38,39,"2015-02-07 20:06:14",0
26,30,32,38,41,"2015-02-07 20:07:52",0
27,19,32,38,39,"2015-02-07 20:10:17",0
28,21,33,38,41,"2015-02-07 20:10:40",0
29,19,32,37,40,"2015-02-07 20:11:57",0
30,28,32,37,40,"2015-02-07 20:15:06",0
31,26,33,38,39,"2015-02-07 20:15:33",1
32,30,32,38,39,"2015-02-07 20:16:04",0
33,19,32,37,40,"2015-02-07 20:18:00",0
34,19,34,38,39,"2015-02-07 20:20:09",0
35,21,32,38,39,"2015-02-07 20:20:39",0
36,2,31,37,40,"2015-02-07 20:21:12",0
37,23,32,38,39,"2015-02-07 20:21:57",0
38,23,32,37,40,"2015-02-07 20:22:34",0
39,24,33,37,40,"2015-02-07 20:22:41",1
40,23,34,38,39,"2015-02-07 20:22:59",1
41,28,34,37,40,"2015-02-07 20:23:25",1
42,18,32,38,39,"2015-02-07 20:35:03",0
43,11,31,38,39,"2015-02-07 20:35:12",0
44,20,32,37,40,"2015-02-07 20:36:10",0
45,23,32,38,39,"2015-02-07 20:37:56",0
46,26,32,38,39,"2015-02-07 20:38:27",0
47,29,32,37,40,"2015-02-07 20:38:42",0
48,23,32,37,40,"2015-02-07 20:40:42",0
49,19,34,37,39,"2015-02-07 20:43:24",0
50,24,32,37,40,"2015-02-07 20:44:29",0
51,20,32,38,41,"2015-02-07 20:44:43",0
52,19,34,37,40,"2015-02-07 20:44:51",0
53,30,32,38,39,"2015-02-07 20:46:28",0
54,21,32,38,39,"2015-02-07 20:46:57",0
55,21,33,37,40,"2015-02-07 20:49:26",0
56,19,32,37,40,"2015-02-07 20:50:26",0
57,19,32,38,39,"2015-02-07 20:51:17",1
58,28,32,37,40,"2015-02-07 20:51:35",0
59,18,32,38,39,"2015-02-07 20:51:54",1
60,22,32,37,40,"2015-02-07 20:52:30",0
